gender,genre,recall
female,action,1
female,action,1
female,action,1
female,action,1
female,action,2
female,action,2
female,action,2
female,action,2
female,action,2
female,action,2
female,action,3
female,action,3
female,action,3
female,action,3
female,action,3
female,action,3
female,action,3
female,action,3
female,action,3
female,action,4
female,action,4
female,action,4
female,action,4
female,action,4
female,action,4
female,action,4
female,action,4
female,action,4
female,action,5
female,action,5
female,action,5
female,action,5
female,action,5
female,action,5
female,action,5
female,action,6
female,action,6
female,action,6
female,action,6
female,comedy,2
female,comedy,2
female,comedy,2
female,comedy,2
female,comedy,3
female,comedy,3
female,comedy,3
female,comedy,3
female,comedy,3
female,comedy,3
female,comedy,3
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,4
female,comedy,5
female,comedy,5
female,comedy,5
female,comedy,5
female,comedy,5
female,comedy,6
female,comedy,6
female,comedy,6
female,drama,2
female,drama,2
female,drama,3
female,drama,3
female,drama,3
female,drama,3
female,drama,3
female,drama,3
female,drama,3
female,drama,4
female,drama,4
female,drama,4
female,drama,4
female,drama,5
female,drama,5
female,drama,5
female,drama,6
female,drama,6
female,drama,6
female,drama,6
female,drama,6
female,drama,6
male,action,0
male,action,3
male,action,4
male,action,4
male,action,4
male,action,4
male,action,4
male,action,4
male,action,4
male,action,4
male,action,4
male,action,4
male,action,5
male,action,5
male,comedy,3
male,comedy,3
male,comedy,3
male,comedy,4
male,comedy,4
male,comedy,4
male,comedy,5
male,comedy,6
male,comedy,6
male,comedy,6
male,drama,2
male,drama,2
male,drama,3
male,drama,3
male,drama,4
male,drama,4
male,drama,4
male,drama,4
male,drama,5
male,drama,5
male,drama,5
male,drama,5
male,drama,6
male,drama,6
male,drama,6
male,drama,6
male,drama,6
male,drama,6
male,drama,6
